holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date,time,traffic_volume
None,291.97,0,0,1,Clear,sky is clear,10/3/2012,12:00:00 PM,5097
None,293.23,0,0,1,Clear,sky is clear,10/3/2012,1:00:00 PM,4887
None,294.31,0,0,1,Clear,sky is clear,10/3/2012,2:00:00 PM,5337
None,295.17,0,0,1,Clear,sky is clear,10/3/2012,3:00:00 PM,5692
None,295.13,0,0,1,Clear,sky is clear,10/3/2012,4:00:00 PM,6137
None,293.66,0,0,20,Clouds,few clouds,10/3/2012,6:00:00 PM,4623
None,290.65,0,0,20,Clouds,few clouds,10/3/2012,7:00:00 PM,3591
None,288.19,0,0,20,Clouds,few clouds,10/3/2012,8:00:00 PM,2898
None,287.1,0,0,1,Clear,sky is clear,10/3/2012,9:00:00 PM,2637
None,286.25,0,0,1,Clear,sky is clear,10/3/2012,10:00:00 PM,1777
None,285.26,0,0,1,Clear,sky is clear,10/3/2012,11:00:00 PM,1015
None,284.55,0,0,1,Clear,sky is clear,10/4/2012,12:00:00 AM,598
None,283.47,0,0,1,Clear,sky is clear,10/4/2012,1:00:00 AM,369
None,283.17,0,0,1,Clear,sky is clear,10/4/2012,2:00:00 AM,312
None,282.04,0,0,1,Clear,sky is clear,10/4/2012,3:00:00 AM,367
None,281.69,0,0,1,Clear,sky is clear,10/4/2012,4:00:00 AM,835
None,281.32,0,0,1,Clear,sky is clear,10/4/2012,5:00:00 AM,2726
None,280.74,0,0,1,Clear,sky is clear,10/4/2012,6:00:00 AM,5689
None,280.57,0,0,1,Clear,sky is clear,10/4/2012,7:00:00 AM,6990
None,281.86,0,0,1,Clear,sky is clear,10/4/2012,8:00:00 AM,5985
None,284.98,0,0,1,Clear,sky is clear,10/4/2012,9:00:00 AM,5309
None,289.18,0,0,1,Clear,sky is clear,10/4/2012,10:00:00 AM,4603
None,291.55,0,0,1,Clear,sky is clear,10/4/2012,11:00:00 AM,4884
None,294.97,0,0,1,Clear,sky is clear,10/4/2012,12:00:00 PM,5104
None,296.38,0,0,1,Clear,sky is clear,10/4/2012,1:00:00 PM,5178
None,297.32,0,0,1,Clear,sky is clear,10/4/2012,2:00:00 PM,5501
None,298.17,0,0,1,Clear,sky is clear,10/4/2012,3:00:00 PM,5713
None,298.06,0,0,20,Clouds,few clouds,10/4/2012,4:00:00 PM,6292
None,297.67,0,0,20,Clouds,few clouds,10/4/2012,5:00:00 PM,6057
None,296.36,0,0,40,Clouds,scattered clouds,10/4/2012,6:00:00 PM,4907
None,293.85,0,0,40,Clouds,scattered clouds,10/4/2012,7:00:00 PM,3503
None,292.43,0,0,40,Clouds,scattered clouds,10/4/2012,8:00:00 PM,3037
None,291.77,0,0,75,Clouds,broken clouds,10/4/2012,9:00:00 PM,2822
None,291.36,0,0,75,Clouds,broken clouds,10/4/2012,10:00:00 PM,1992
None,291.12,0,0,75,Clouds,broken clouds,10/4/2012,11:00:00 PM,1166
None,290.63,0,0,75,Clouds,broken clouds,10/5/2012,12:00:00 AM,627
None,290.46,0,0,40,Clouds,scattered clouds,10/5/2012,1:00:00 AM,388
None,289.26,0,0,0,Clear,sky is clear,10/5/2012,3:00:00 AM,368
None,283.21,0,0,75,Clouds,broken clouds,10/5/2012,5:00:00 AM,2489
None,282.24,0,0,90,Clouds,overcast clouds,10/5/2012,6:00:00 AM,5537
None,281.69,0,0,90,Clouds,overcast clouds,10/5/2012,7:00:00 AM,6628
None,280.57,0,0,90,Clouds,overcast clouds,10/5/2012,8:00:00 AM,5534
None,280.02,0,0,75,Clouds,broken clouds,10/5/2012,9:00:00 AM,5403
None,280.11,0,0,75,Clouds,broken clouds,10/5/2012,10:00:00 AM,4770
None,280,0,0,90,Clouds,overcast clouds,10/5/2012,11:00:00 AM,5217
None,280.53,0,0,90,Clouds,overcast clouds,10/5/2012,12:00:00 PM,5870
None,281.43,0,0,75,Clouds,broken clouds,10/5/2012,1:00:00 PM,5967
None,281.78,0,0,90,Clouds,overcast clouds,10/5/2012,2:00:00 PM,6108
None,281.91,0,0,90,Clouds,overcast clouds,10/5/2012,3:00:00 PM,6128
None,281.73,0,0,90,Clouds,overcast clouds,10/5/2012,4:00:00 PM,6069
None,281.42,0,0,90,Clouds,overcast clouds,10/5/2012,5:00:00 PM,6169
None,280.87,0,0,90,Clouds,overcast clouds,10/5/2012,6:00:00 PM,5384
None,280.15,0,0,90,Clouds,overcast clouds,10/5/2012,7:00:00 PM,4063
None,279.78,0,0,90,Clouds,overcast clouds,10/5/2012,8:00:00 PM,3364
None,279.65,0,0,75,Clouds,broken clouds,10/5/2012,9:00:00 PM,2971
None,279.22,0,0,40,Clouds,scattered clouds,10/5/2012,10:00:00 PM,2450
None,279.06,0,0,40,Clouds,scattered clouds,10/5/2012,11:00:00 PM,1832
None,278.81,0,0,90,Clouds,overcast clouds,10/6/2012,12:00:00 AM,1231
None,278.55,0,0,90,Clouds,overcast clouds,10/6/2012,1:00:00 AM,718
None,278.59,0,0,90,Clouds,overcast clouds,10/6/2012,2:00:00 AM,545
None,276.99,0,0,75,Clouds,broken clouds,10/6/2012,4:00:00 AM,411
None,276.35,0,0,20,Clouds,few clouds,10/6/2012,5:00:00 AM,688
None,275.4,0,0,1,Clear,sky is clear,10/6/2012,6:00:00 AM,1352
None,275.17,0,0,1,Clear,sky is clear,10/6/2012,7:00:00 AM,2072
None,274.99,0,0,1,Clear,sky is clear,10/6/2012,8:00:00 AM,3342
None,275.09,0,0,40,Clouds,scattered clouds,10/6/2012,9:00:00 AM,4258
None,276.88,0,0,20,Clouds,few clouds,10/6/2012,10:00:00 AM,4861
None,278.04,0,0,20,Clouds,few clouds,10/6/2012,11:00:00 AM,5191
None,279.08,0,0,40,Clouds,scattered clouds,10/6/2012,12:00:00 PM,5669
None,280.12,0,0,75,Clouds,broken clouds,10/6/2012,1:00:00 PM,5074
None,280.25,0,0,75,Clouds,broken clouds,10/6/2012,2:00:00 PM,5025
None,280,0,0,75,Clouds,broken clouds,10/6/2012,3:00:00 PM,5153
None,279.06,0,0,90,Clouds,overcast clouds,10/6/2012,4:00:00 PM,5024
None,278.91,0,0,90,Clouds,overcast clouds,10/6/2012,5:00:00 PM,4779
None,278.39,0,0,90,Clouds,overcast clouds,10/6/2012,6:00:00 PM,4362
None,278.16,0,0,90,Clouds,overcast clouds,10/6/2012,7:00:00 PM,3860
None,278.16,0,0,90,Clouds,overcast clouds,10/6/2012,8:00:00 PM,3160
None,277.93,0,0,90,Clouds,overcast clouds,10/6/2012,9:00:00 PM,2992
None,276.9,0,0,90,Clouds,overcast clouds,10/6/2012,10:00:00 PM,3202
None,276.34,0,0,75,Clouds,broken clouds,10/6/2012,11:00:00 PM,1941
None,276.11,0,0,75,Clouds,broken clouds,10/7/2012,12:00:00 AM,1233
None,275.73,0,0,90,Clouds,overcast clouds,10/7/2012,3:00:00 AM,323
None,275.65,0,0,90,Clouds,overcast clouds,10/7/2012,4:00:00 AM,312
None,275.51,0,0,75,Clouds,broken clouds,10/7/2012,5:00:00 AM,627
None,275.05,0,0,90,Clouds,overcast clouds,10/7/2012,6:00:00 AM,1508
None,274.77,0,0,90,Clouds,overcast clouds,10/7/2012,7:00:00 AM,1539
None,274.77,0,0,75,Clouds,broken clouds,10/7/2012,8:00:00 AM,2232
None,275.55,0,0,75,Clouds,broken clouds,10/7/2012,9:00:00 AM,4568
None,276.24,0,0,75,Clouds,broken clouds,10/7/2012,10:00:00 AM,4624
None,277.01,0,0,90,Clouds,overcast clouds,10/7/2012,11:00:00 AM,4529
None,277.43,0,0,90,Clouds,overcast clouds,10/7/2012,12:00:00 PM,5139
None,278.45,0,0,90,Clouds,overcast clouds,10/7/2012,1:00:00 PM,6640
None,279.27,0,0,90,Clouds,overcast clouds,10/7/2012,2:00:00 PM,6589
None,279.27,0,0,90,Clouds,overcast clouds,10/7/2012,3:00:00 PM,4429
None,279.44,0,0,90,Clouds,overcast clouds,10/7/2012,4:00:00 PM,4329
None,279.32,0,0,90,Clouds,overcast clouds,10/7/2012,5:00:00 PM,3833
None,279.27,0,0,90,Clouds,overcast clouds,10/7/2012,6:00:00 PM,4015
None,278.11,0,0,90,Clouds,overcast clouds,10/7/2012,7:00:00 PM,3382
None,276.79,0,0,75,Clouds,broken clouds,10/7/2012,8:00:00 PM,2815
None,275.73,0,0,90,Clouds,overcast clouds,10/7/2012,9:00:00 PM,2110
None,274.88,0,0,75,Clouds,broken clouds,10/7/2012,10:00:00 PM,1555
None,273.92,0,0,20,Clouds,few clouds,10/7/2012,11:00:00 PM,959
Columbus Day,273.08,0,0,20,Clouds,few clouds,10/8/2012,12:00:00 AM,455
None,272.62,0,0,20,Clouds,few clouds,10/8/2012,1:00:00 AM,336
None,271.78,0,0,1,Clear,sky is clear,10/8/2012,2:00:00 AM,265
None,271.05,0,0,1,Clear,sky is clear,10/8/2012,3:00:00 AM,314
None,270.63,0,0,1,Clear,sky is clear,10/8/2012,4:00:00 AM,779
None,270.33,0,0,1,Clear,sky is clear,10/8/2012,5:00:00 AM,2571
None,269.61,0,0,20,Clouds,few clouds,10/8/2012,6:00:00 AM,5563
None,270.01,0,0,20,Clouds,few clouds,10/8/2012,7:00:00 AM,6676
None,271.23,0,0,20,Clouds,few clouds,10/8/2012,8:00:00 AM,5966
None,273.71,0,0,20,Clouds,few clouds,10/8/2012,9:00:00 AM,4832
None,276.77,0,0,20,Clouds,few clouds,10/8/2012,10:00:00 AM,4395
None,279.47,0,0,20,Clouds,few clouds,10/8/2012,11:00:00 AM,4411
None,279.84,0,0,1,Clear,sky is clear,10/8/2012,12:00:00 PM,4648
None,282.34,0,0,40,Clouds,scattered clouds,10/8/2012,1:00:00 PM,4602
None,282.94,0,0,40,Clouds,scattered clouds,10/8/2012,2:00:00 PM,5125
None,283.48,0,0,1,Clear,sky is clear,10/8/2012,3:00:00 PM,5502
None,284.33,0,0,1,Clear,sky is clear,10/8/2012,4:00:00 PM,5979
None,284.48,0,0,40,Clouds,scattered clouds,10/8/2012,5:00:00 PM,5663
None,284.23,0,0,40,Clouds,scattered clouds,10/8/2012,6:00:00 PM,4259
None,281.99,0,0,20,Clouds,few clouds,10/8/2012,7:00:00 PM,3069
None,279.81,0,0,1,Clear,sky is clear,10/8/2012,8:00:00 PM,2378
None,279.35,0,0,1,Clear,sky is clear,10/8/2012,9:00:00 PM,2030
None,278.9,0,0,1,Clear,sky is clear,10/8/2012,10:00:00 PM,1400
None,278.46,0,0,1,Clear,sky is clear,10/8/2012,11:00:00 PM,917
None,277.78,0,0,1,Clear,sky is clear,10/9/2012,12:00:00 AM,515
None,277.27,0,0,1,Clear,sky is clear,10/9/2012,1:00:00 AM,302
None,277.47,0,0,1,Clear,sky is clear,10/9/2012,2:00:00 AM,251
None,276.97,0,0,20,Clouds,few clouds,10/9/2012,4:00:00 AM,798
None,276.52,0,0,40,Clouds,scattered clouds,10/9/2012,5:00:00 AM,2678
None,276.6,0,0,40,Clouds,scattered clouds,10/9/2012,6:00:00 AM,5733
None,277.31,0,0,75,Clouds,broken clouds,10/9/2012,7:00:00 AM,6449
None,278.38,0,0,90,Clouds,overcast clouds,10/9/2012,8:00:00 AM,5765
None,279.35,0,0,90,Clouds,overcast clouds,10/9/2012,9:00:00 AM,5599
None,281.37,0,0,90,Clouds,overcast clouds,10/9/2012,10:00:00 AM,4534
None,283.11,0,0,90,Clouds,overcast clouds,10/9/2012,11:00:00 AM,4691
None,284.08,0,0,75,Clouds,broken clouds,10/9/2012,12:00:00 PM,5067
None,285.14,0,0,75,Clouds,broken clouds,10/9/2012,1:00:00 PM,5030
None,286.35,0,0,90,Clouds,overcast clouds,10/9/2012,2:00:00 PM,5300
None,287.23,0,0,100,Rain,light rain,10/9/2012,3:00:00 PM,5777
None,288.53,0,0,90,Clouds,overcast clouds,10/9/2012,4:00:00 PM,6349
None,290.37,0,0,90,Clouds,overcast clouds,10/9/2012,5:00:00 PM,6127
None,290.13,0,0,90,Clouds,overcast clouds,10/9/2012,6:00:00 PM,4460
None,288.86,0,0,75,Clouds,broken clouds,10/9/2012,7:00:00 PM,3418
None,287.36,0,0,90,Clouds,overcast clouds,10/9/2012,8:00:00 PM,2775
None,285.11,0,0,90,Clouds,overcast clouds,10/9/2012,9:00:00 PM,2306
None,283.46,0,0,90,Clouds,overcast clouds,10/9/2012,10:00:00 PM,1846
None,282.45,0,0,90,Clouds,overcast clouds,10/9/2012,11:00:00 PM,947
None,281.88,0,0,90,Clouds,overcast clouds,10/10/2012,12:00:00 AM,494
None,281.78,0,0,90,Clouds,overcast clouds,10/10/2012,1:00:00 AM,332
None,281.09,0,0,75,Clouds,broken clouds,10/10/2012,2:00:00 AM,261
None,281.17,0,0,90,Clouds,overcast clouds,10/10/2012,3:00:00 AM,361
None,281.25,0,0,92,Clear,sky is clear,10/10/2012,6:00:00 AM,5875
None,281.25,0,0,99,Rain,light rain,10/10/2012,7:00:00 AM,6793
None,281.25,0,0,99,Drizzle,light intensity drizzle,10/10/2012,7:00:00 AM,6793
None,280.1,0,0,99,Rain,light rain,10/10/2012,8:00:00 AM,6283
None,280.1,0,0,99,Drizzle,light intensity drizzle,10/10/2012,8:00:00 AM,6283
None,279.61,0,0,99,Rain,light rain,10/10/2012,9:00:00 AM,5680
None,279.61,0,0,99,Drizzle,light intensity drizzle,10/10/2012,9:00:00 AM,5680
None,279.67,0,0,99,Clear,sky is clear,10/10/2012,10:00:00 AM,4632
None,280.19,0,0,1,Clear,sky is clear,10/10/2012,11:00:00 AM,4887
None,282.09,0,0,75,Clouds,broken clouds,10/10/2012,12:00:00 PM,5030
None,282.26,0,0,75,Clouds,broken clouds,10/10/2012,1:00:00 PM,5067
None,282.05,0,0,90,Clouds,overcast clouds,10/10/2012,2:00:00 PM,5227
None,281.59,0,0,90,Clouds,overcast clouds,10/10/2012,3:00:00 PM,5610
None,281.23,0,0,81,Clear,sky is clear,10/10/2012,4:00:00 PM,6286
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,6:00:00 PM,4775
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,7:00:00 PM,3340
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,8:00:00 PM,3013
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,9:00:00 PM,2603
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,10:00:00 PM,1910
None,282.6,0,0,81,Clear,sky is clear,10/10/2012,11:00:00 PM,1037
None,273.9,0,0,1,Clear,sky is clear,10/11/2012,1:00:00 AM,347
None,274.4,0,0,75,Clouds,broken clouds,10/11/2012,3:00:00 AM,350
None,274.05,0,0,75,Clouds,broken clouds,10/11/2012,4:00:00 AM,850
None,273.71,0,0,40,Clouds,scattered clouds,10/11/2012,5:00:00 AM,2791
None,272.66,0,0,1,Clear,sky is clear,10/11/2012,6:00:00 AM,5809
None,272.65,0,0,1,Clear,sky is clear,10/11/2012,7:00:00 AM,6798
None,272.52,0,0,1,Clear,sky is clear,10/11/2012,8:00:00 AM,6304
None,275.19,0,0,20,Clouds,few clouds,10/11/2012,9:00:00 AM,5291
None,275.34,0,0,1,Clear,sky is clear,10/11/2012,10:00:00 AM,4638
None,284.1,0,0,50,Clear,sky is clear,10/11/2012,2:00:00 PM,5557
None,284.1,0,0,50,Clear,sky is clear,10/11/2012,3:00:00 PM,5818
None,283.78,0,0,75,Clouds,broken clouds,10/11/2012,4:00:00 PM,6272
None,283.52,0,0,75,Clouds,broken clouds,10/11/2012,5:00:00 PM,5944
None,283.32,0,0,90,Clouds,overcast clouds,10/11/2012,6:00:00 PM,4949
None,282.06,0,0,90,Clouds,overcast clouds,10/11/2012,7:00:00 PM,3511
None,281.95,0,0,90,Clouds,overcast clouds,10/11/2012,8:00:00 PM,3039
None,281.81,0,0,90,Clouds,overcast clouds,10/11/2012,9:00:00 PM,2679
None,282.16,0,0,90,Clouds,overcast clouds,10/11/2012,10:00:00 PM,2094
None,282.53,0,0,90,Clouds,overcast clouds,10/11/2012,11:00:00 PM,1284
None,283.91,0,0,90,Clouds,overcast clouds,10/12/2012,12:00:00 AM,630
None,284.64,0,0,90,Clouds,overcast clouds,10/12/2012,1:00:00 AM,410
None,284.61,0,0,90,Clouds,overcast clouds,10/12/2012,2:00:00 AM,331
None,283.18,0,0,72,Drizzle,light intensity drizzle,10/12/2012,3:00:00 AM,372
None,282.26,0,0,72,Rain,light rain,10/12/2012,4:00:00 AM,739
None,280.77,0,0,72,Drizzle,light intensity drizzle,10/12/2012,5:00:00 AM,2561
None,278.53,0,0,75,Clouds,broken clouds,10/12/2012,6:00:00 AM,5586
None,277.64,0,0,75,Clouds,broken clouds,10/12/2012,7:00:00 AM,6992
None,277.9,0,0,90,Clouds,overcast clouds,10/12/2012,8:00:00 AM,5860
None,278.18,0,0,90,Clouds,overcast clouds,10/12/2012,9:00:00 AM,5230
None,279.29,0,0,75,Clouds,broken clouds,10/12/2012,10:00:00 AM,4864
None,280.45,0,0,75,Clouds,broken clouds,10/12/2012,11:00:00 AM,5146
None,280.95,0,0,40,Clouds,scattered clouds,10/12/2012,12:00:00 PM,5526
None,281.74,0,0,40,Clouds,scattered clouds,10/12/2012,1:00:00 PM,5383
None,281.84,0,0,75,Clouds,broken clouds,10/12/2012,2:00:00 PM,5758
None,282.45,0,0,75,Clouds,broken clouds,10/12/2012,3:00:00 PM,5889
None,282.2,0,0,75,Clouds,broken clouds,10/12/2012,4:00:00 PM,6057
None,281.54,0,0,40,Clouds,scattered clouds,10/12/2012,5:00:00 PM,6028
None,280.21,0,0,20,Clouds,few clouds,10/12/2012,6:00:00 PM,5257
None,282.2,0,0,56,Clear,sky is clear,10/12/2012,11:00:00 PM,1897
None,272.58,0,0,1,Clear,sky is clear,10/13/2012,12:00:00 AM,1335
None,272.06,0,0,1,Clear,sky is clear,10/13/2012,1:00:00 AM,769
None,270.99,0,0,1,Clear,sky is clear,10/13/2012,2:00:00 AM,570
None,270.29,0,0,20,Clouds,few clouds,10/13/2012,3:00:00 AM,413
None,269.48,0,0,1,Clear,sky is clear,10/13/2012,4:00:00 AM,399
None,269.27,0,0,1,Clear,sky is clear,10/13/2012,5:00:00 AM,740
None,268.91,0,0,1,Clear,sky is clear,10/13/2012,6:00:00 AM,1420
None,268.98,0,0,75,Clouds,broken clouds,10/13/2012,7:00:00 AM,2220
None,269.23,0,0,40,Clouds,scattered clouds,10/13/2012,8:00:00 AM,3479
None,272.61,0,0,40,Clouds,scattered clouds,10/13/2012,9:00:00 AM,4546
None,276.78,0,0,20,Clouds,few clouds,10/13/2012,10:00:00 AM,4579
None,279.22,0,0,1,Clear,sky is clear,10/13/2012,11:00:00 AM,4438
None,280.35,0,0,1,Clear,sky is clear,10/13/2012,12:00:00 PM,4623
None,281.81,0,0,1,Clear,sky is clear,10/13/2012,1:00:00 PM,4440
None,283.05,0,0,1,Clear,sky is clear,10/13/2012,2:00:00 PM,4495
None,283.96,0,0,1,Clear,sky is clear,10/13/2012,3:00:00 PM,4483
None,284.53,0,0,1,Clear,sky is clear,10/13/2012,4:00:00 PM,4591
None,284.44,0,0,1,Clear,sky is clear,10/13/2012,5:00:00 PM,4477
None,283.64,0,0,1,Clear,sky is clear,10/13/2012,6:00:00 PM,4221
None,281.85,0,0,20,Clouds,few clouds,10/13/2012,7:00:00 PM,3672
None,281.38,0,0,1,Clear,sky is clear,10/13/2012,8:00:00 PM,3015
None,281.84,0,0,75,Clouds,broken clouds,10/13/2012,9:00:00 PM,2769
None,282.23,0,0,90,Clouds,overcast clouds,10/13/2012,10:00:00 PM,2875
None,282.18,0,0,90,Clouds,overcast clouds,10/13/2012,11:00:00 PM,1931
None,282.49,0,0,90,Clouds,overcast clouds,10/14/2012,12:00:00 AM,1309
None,282.54,0,0,90,Clouds,overcast clouds,10/14/2012,1:00:00 AM,870
None,282.58,0,0,90,Clouds,overcast clouds,10/14/2012,2:00:00 AM,654
None,282.23,0,0,90,Clouds,overcast clouds,10/14/2012,3:00:00 AM,364
None,282.08,0,0,90,Clouds,overcast clouds,10/14/2012,4:00:00 AM,262
None,282.23,0,0,90,Clouds,overcast clouds,10/14/2012,5:00:00 AM,505
None,282.24,0,0,90,Clouds,overcast clouds,10/14/2012,6:00:00 AM,861
None,282.24,0,0,90,Clouds,overcast clouds,10/14/2012,7:00:00 AM,1132
None,282.24,0,0,57,Mist,mist,10/14/2012,8:00:00 AM,1797
None,282.43,0,0,57,Drizzle,light intensity drizzle,10/14/2012,9:00:00 AM,2685
None,282.43,0,0,57,Mist,mist,10/14/2012,9:00:00 AM,2685
None,282.43,0,0,57,Haze,haze,10/14/2012,9:00:00 AM,2685
None,282.33,0,0,57,Drizzle,light intensity drizzle,10/14/2012,10:00:00 AM,3370
None,282.33,0,0,57,Mist,mist,10/14/2012,10:00:00 AM,3370
None,282.82,0,0,57,Drizzle,light intensity drizzle,10/14/2012,11:00:00 AM,3662
None,282.82,0,0,57,Mist,mist,10/14/2012,11:00:00 AM,3662
None,283.33,0,0,57,Mist,mist,10/14/2012,12:00:00 PM,4076
None,283.33,0,0,57,Rain,light rain,10/14/2012,12:00:00 PM,4076
None,283.33,0,0,57,Drizzle,light intensity drizzle,10/14/2012,12:00:00 PM,4076
None,283.75,0,0,93,Rain,light rain,10/14/2012,1:00:00 PM,4128
None,283.75,0,0,93,Mist,mist,10/14/2012,1:00:00 PM,4128
None,283.75,0,0,93,Drizzle,light intensity drizzle,10/14/2012,1:00:00 PM,4128
None,284.09,0,0,93,Mist,mist,10/14/2012,2:00:00 PM,4358
None,284.09,0,0,93,Rain,light rain,10/14/2012,2:00:00 PM,4358
None,284.09,0,0,93,Drizzle,light intensity drizzle,10/14/2012,2:00:00 PM,4358
None,284.55,0,0,93,Mist,mist,10/14/2012,3:00:00 PM,4342
None,284.55,0,0,93,Rain,light rain,10/14/2012,3:00:00 PM,4342
None,284.68,0,0,93,Mist,mist,10/14/2012,4:00:00 PM,4234
None,284.64,0,0,93,Rain,light rain,10/14/2012,5:00:00 PM,4271
None,284.64,0,0,93,Mist,mist,10/14/2012,5:00:00 PM,4271
None,284.4,0,0,93,Mist,mist,10/14/2012,6:00:00 PM,4080
None,284.17,0,0,93,Mist,mist,10/14/2012,7:00:00 PM,3453
None,284.03,0,0,93,Mist,mist,10/14/2012,8:00:00 PM,2718
None,283.58,0,0,93,Mist,mist,10/14/2012,9:00:00 PM,2439
None,283.04,0,0,93,Mist,mist,10/14/2012,10:00:00 PM,1819
None,281.95,0,0,93,Mist,mist,10/14/2012,11:00:00 PM,1002
None,281.95,0,0,93,Fog,fog,10/14/2012,11:00:00 PM,1002
None,281.61,0,0,93,Mist,mist,10/15/2012,12:00:00 AM,542
None,281.61,0,0,93,Fog,fog,10/15/2012,12:00:00 AM,542
None,281.57,0,0,85,Fog,fog,10/15/2012,1:00:00 AM,303
None,281.42,0,0,85,Fog,fog,10/15/2012,2:00:00 AM,239
None,281.29,0,0,85,Mist,mist,10/15/2012,3:00:00 AM,335
None,281.29,0,0,85,Fog,fog,10/15/2012,3:00:00 AM,335
None,281.02,0,0,85,Mist,mist,10/15/2012,4:00:00 AM,810
None,281.02,0,0,85,Fog,fog,10/15/2012,4:00:00 AM,810
None,280.82,0,0,85,Mist,mist,10/15/2012,5:00:00 AM,2606
None,280.82,0,0,85,Fog,fog,10/15/2012,5:00:00 AM,2606
None,280.39,0,0,85,Mist,mist,10/15/2012,6:00:00 AM,5714
None,280.19,0,0,100,Mist,mist,10/15/2012,7:00:00 AM,6798
None,279.82,0,0,100,Mist,mist,10/15/2012,8:00:00 AM,6114
None,279.75,0,0,100,Mist,mist,10/15/2012,9:00:00 AM,5094
None,280.07,0,0,100,Mist,mist,10/15/2012,10:00:00 AM,4473
None,280.32,0,0,90,Clouds,overcast clouds,10/15/2012,11:00:00 AM,4529
None,281.72,0,0,100,Clear,sky is clear,10/15/2012,12:00:00 PM,4823
None,284.01,0,0,40,Clouds,scattered clouds,10/15/2012,1:00:00 PM,4872
None,285.88,0,0,1,Clear,sky is clear,10/15/2012,2:00:00 PM,5238
None,286.87,0,0,1,Clear,sky is clear,10/15/2012,3:00:00 PM,5584
None,287.6,0,0,20,Clouds,few clouds,10/15/2012,4:00:00 PM,6246
None,287.27,0,0,20,Clouds,few clouds,10/15/2012,5:00:00 PM,5957
None,286.18,0,0,20,Clouds,few clouds,10/15/2012,6:00:00 PM,4535
None,285.2,0,0,75,Clouds,broken clouds,10/15/2012,7:00:00 PM,3234
None,284.68,0,0,75,Clouds,broken clouds,10/15/2012,8:00:00 PM,2677
None,284.49,0,0,90,Clouds,overcast clouds,10/15/2012,9:00:00 PM,2077
None,283.54,0,0,20,Clouds,few clouds,10/15/2012,10:00:00 PM,1380
None,282.33,0,0,75,Clouds,broken clouds,10/15/2012,11:00:00 PM,927
None,281.21,0,0,20,Clouds,few clouds,10/16/2012,12:00:00 AM,500
None,279.87,0,0,1,Clear,sky is clear,10/16/2012,1:00:00 AM,324
None,278.93,0,0,1,Clear,sky is clear,10/16/2012,2:00:00 AM,257
None,277.91,0,0,1,Clear,sky is clear,10/16/2012,3:00:00 AM,354
None,277.21,0,0,1,Clear,sky is clear,10/16/2012,4:00:00 AM,769
None,276.61,0,0,1,Clear,sky is clear,10/16/2012,5:00:00 AM,2769
None,276.11,0,0,1,Clear,sky is clear,10/16/2012,6:00:00 AM,5789
None,274.81,0,0,20,Clouds,few clouds,10/16/2012,7:00:00 AM,7055
None,274.99,0,0,20,Clouds,few clouds,10/16/2012,8:00:00 AM,6408
None,277.91,0,0,20,Clouds,few clouds,10/16/2012,9:00:00 AM,5254
None,280.71,0,0,20,Clouds,few clouds,10/16/2012,10:00:00 AM,4547
